pdb_nsite	uniprot_ac	uniprot_functions
5im3_3	Q9I4I1	Oxidoreductase
4h4c_1	P62623	Oxidoreductase
1i7p_1	P20070	Oxidoreductase
1rx2_1	P0ABQ4	Oxidoreductase
1e8h_2	P56216	Oxidoreductase
1fdu_4	P14061	Oxidoreductase
2qmy_2	P16083	Oxidoreductase
1kbo_6	P15559	Oxidoreductase
4kqw_1	D0WGK0	Oxidoreductase
1eno_1	P80030	Oxidoreductase
4feh_1	P9WJF1	Oxidoreductase
3ihg_4	Q54530	Oxidoreductase
1h2h_1	Q9X1X6	Oxidoreductase
4g09_1	Q8G2R2	Oxidoreductase
3lzx_4	O05268	Oxidoreductase
1y7t_2	P10584	Oxidoreductase
1cqx_4	P39662	Oxidoreductase
1afs_1	P23457	Oxidoreductase
1ja0_3	P00388	Oxidoreductase
1k02_1	Q02899	Oxidoreductase
2oz0_2	P00175	Oxidoreductase
3v36_2	P15121	Oxidoreductase
1vl8_2	Q9WYS2	Oxidoreductase
3oz2_1	Q9HKS9	Oxidoreductase
3d8x_3	P29509	Oxidoreductase
4wzh_2	E9AI53	Oxidoreductase
4ccr_3	C4LW95	Oxidoreductase
1ye6_4	O74237	Oxidoreductase
2onm_11	P05091	Oxidoreductase
4boy_2	Q8DIW5	Oxidoreductase
1s3y_1	P16184	Oxidoreductase
4z44_1	P95480	Oxidoreductase
2pev_1	P15121	Oxidoreductase
4zvn_2	P16083	Oxidoreductase
4ixf_1	P16184	Oxidoreductase
4hx5_1	P28845	Oxidoreductase
2x23_2	P9WGR1	Oxidoreductase
2vvl_4	P46882	Oxidoreductase
4fqf_4	P05091	Oxidoreductase
1b16_2	P10807	Oxidoreductase
3ai2_4	A4PB64	Oxidoreductase
4i4b_1	P13702	Oxidoreductase
3wle_4	A1X808	Oxidoreductase
1pzg_3	P90613	Oxidoreductase
1qiq_1	P05326	Oxidoreductase
3s1d_1	Q9T0N8	Oxidoreductase
3uzx_2	P51857	Oxidoreductase
4gap_1	P32340	Oxidoreductase
2cda_2	O93715	Oxidoreductase
2pdg_1	P15121	Oxidoreductase
2cvj_1	Q5SLC3	Oxidoreductase
2v5z_2	P27338	Oxidoreductase
4zvl_1	P16083	Oxidoreductase
3w5u_3	Q9SLP6	Oxidoreductase
4z3d_3	P16152	Oxidoreductase
3w8f_1	D0VWQ0	Oxidoreductase
2c3c_3	Q56839	Oxidoreductase
3dv0_4	P21874	Oxidoreductase
1q5m_2	P80508	Oxidoreductase
2bja_2	Q5SI02	Oxidoreductase
4cql_3	Q92506	Oxidoreductase
2p5n_1	Q91WR5	Oxidoreductase
3pym_1	P00359	Oxidoreductase
1umc_1	Q5SLR4	Oxidoreductase
2gr0_1	Q52437	Oxidoreductase
3ras_2	P9WNS1	Oxidoreductase
3znp_1	P14920	Oxidoreductase
3gwn_2	Q5UP54	Oxidoreductase
3lov_1	B1YKJ9	Oxidoreductase
3w1q_1	Q4D3W2	Oxidoreductase
4bb5_4	P28845	Oxidoreductase
4nfh_3	P00327	Oxidoreductase
4oaq_1	M4VRJ6	Oxidoreductase
1hzz_1	Q2RSB2	Oxidoreductase
1npt_4	P00362	Oxidoreductase
5g3t_3	Q9S3V1	Oxidoreductase
2w0h_2	A4HSF7	Oxidoreductase
3g49_2	Q6QLL4	Oxidoreductase
1uum_5	Q63707	Oxidoreductase
2ekl_1	Q972A9	Oxidoreductase
2glx_2	Q2I8V6	Oxidoreductase
1bdm_2	P10584	Oxidoreductase
3hj9_1	Q472T4	Oxidoreductase
3cnt_2	P50264	Oxidoreductase
3w1x_2	Q4D3W2	Oxidoreductase
2p9g_2	P0A9T0	Oxidoreductase
4qec_2	I6ZQW6	Oxidoreductase
4ysw_4	P22985	Oxidoreductase
4ocg_3	A3QAV3	Oxidoreductase
1ewy_1	P21890	Oxidoreductase
1udy_4	P41367	Oxidoreductase
1emd_1	P61889	Oxidoreductase
2zb8_1	Q8N8N7	Oxidoreductase
3l8k_2	Q97XZ3	Oxidoreductase
1fds_1	P14061	Oxidoreductase
4g74_1	P32340	Oxidoreductase
2yvf_1	Q52437	Oxidoreductase
4jbi_3	Q8ZUP0	Oxidoreductase
1gpd_2	P00357	Oxidoreductase
4ajj_3	P04642	Oxidoreductase
1w8d_3	Q16698	Oxidoreductase
3gmd_6	P50172	Oxidoreductase
4jn9_2	A4ZPY8	Oxidoreductase
1diu_1	P00381	Oxidoreductase
1hdr_1	P09417	Oxidoreductase
3nhf_1	P16083	Oxidoreductase
5bsf_1	G7KRM5	Oxidoreductase
2yg3_2	B0F9F6	Oxidoreductase
1g8j_3	Q7SIF4	Oxidoreductase
4ttc_1	Q6PHW0	Oxidoreductase
2yw9_1	Q5SLI9	Oxidoreductase
1z2i_4	Q7CRW4	Oxidoreductase
3nhr_3	P16083	Oxidoreductase
1m7a_2	P22906	Oxidoreductase
1dq9_4	P04035	Oxidoreductase
3ox4_1	P0DJA2	Oxidoreductase
4yag_1	C0SUJ9	Oxidoreductase
3czr_1	P28845	Oxidoreductase
2ipi_1	Q0PCD7	Oxidoreductase
4eqr_2	Q2FIA5	Oxidoreductase
2e1m_1	Q8L3C7	Oxidoreductase
1o9j_1	Q28399	Oxidoreductase
1rm3_2	P19866	Oxidoreductase
3znq_1	P14920	Oxidoreductase
4trj_1	P9WGR0	Oxidoreductase
4i13_1	P0ABQ4	Oxidoreductase
1ah4_1	P80276	Oxidoreductase
2j3i_2	Q39172	Oxidoreductase
3n7u_12	Q9S7E4	Oxidoreductase
3frf_1	P0A017	Oxidoreductase
1zmc_3	P09622	Oxidoreductase
1hdo_1	P30043	Oxidoreductase
2pdk_1	P15121	Oxidoreductase
3t42_1	P15121	Oxidoreductase
3fu9_2	Q70KY3	Oxidoreductase
3rj5_1	P10807	Oxidoreductase
2a1u_1	P13804	Oxidoreductase
4nbw_1	A6G411	Oxidoreductase
3d5q_1	P28845	Oxidoreductase
4jq3_1	P52895	Oxidoreductase
3zgl_1	P62623	Oxidoreductase
2q6c_4	P04035	Oxidoreductase
1hw8_6	P04035	Oxidoreductase
3gnc_4	Q3JP94	Oxidoreductase
3i99_1	Q9KV40	Oxidoreductase
2p9c_2	P0A9T0	Oxidoreductase
1zrq_1	P0AEZ1	Oxidoreductase
1xkq_4	Q9N5G4	Oxidoreductase
4h80_7	P30838	Oxidoreductase
3jwc_1	Q81R22	Oxidoreductase
1z9a_1	O74237	Oxidoreductase
4cf6_2	P15559	Oxidoreductase
4w6z_2	P00330	Oxidoreductase
2x1h_3	Q8N4Q0	Oxidoreductase
1nec_2	Q01234	Oxidoreductase
3ad9_2	Q50LF2	Oxidoreductase
1blz_1	P05326	Oxidoreductase
1e1k_2	P08165	Oxidoreductase
5env_1	P00330	Oxidoreductase
1z48_2	P54550	Oxidoreductase
3bnm_1	P50264	Oxidoreductase
1i33_4	Q27890	Oxidoreductase
1dyh_2	P0ABQ4	Oxidoreductase
4up3_1	C4LW95	Oxidoreductase
5c4n_1	O68098	Oxidoreductase
3b1j_1	Q9R6W2	Oxidoreductase
3zgn_2	P62623	Oxidoreductase
4i5x_1	O60218	Oxidoreductase
3asj_1	Q5SIJ1	Oxidoreductase
2b4r_4	Q8T6B1	Oxidoreductase
4y9r_6	P00388	Oxidoreductase
1u5c_1	Q27743	Oxidoreductase
3nt6_2	A3QAV3	Oxidoreductase
2gh5_1	P00390	Oxidoreductase
2aba_1	P71278	Oxidoreductase
1geg_5	Q48436	Oxidoreductase
4hs4_2	D5QFC5	Oxidoreductase
2pdl_1	P15121	Oxidoreductase
3frd_1	P0A017	Oxidoreductase
3au8_1	O96693	Oxidoreductase
4ure_1	Q5P8S7	Oxidoreductase
3dey_1	P14061	Oxidoreductase
3nhp_1	P16083	Oxidoreductase
1hdc_4	P19992	Oxidoreductase
3vo2_1	B4FUM2	Oxidoreductase
5a03_4	Q9A8X3	Oxidoreductase
4x5j_1	P0ABQ4	Oxidoreductase
2hqp_1	P00381	Oxidoreductase
1daj_1	P16184	Oxidoreductase
3lsi_1	Q7ZA32	Oxidoreductase
1r31_1	P13702	Oxidoreductase
3mdd_1	P41367	Oxidoreductase
2xfo_1	P27338	Oxidoreductase
3gx9_1	Q51990	Oxidoreductase
3g1r_1	P51857	Oxidoreductase
1qyv_1	P14061	Oxidoreductase
2c12_2	Q8X1D8	Oxidoreductase
3bxx_6	P51110	Oxidoreductase
1hb3_1	P05326	Oxidoreductase
1gxf_2	P28593	Oxidoreductase
3owa_2	Q81XJ1	Oxidoreductase
2e5m_1	Q96YK6	Oxidoreductase
3etd_15	P00366	Oxidoreductase
4o5u_1	P35340	Oxidoreductase
3dme_1	Q7VU70	Oxidoreductase
4j7u_5	P35270	Oxidoreductase
1pwl_1	P15121	Oxidoreductase
3n14_1	Q3ZDM6	Oxidoreductase
4yu1_1	P15121	Oxidoreductase
5a4k_3	P15559	Oxidoreductase
4jtr_2	P52895	Oxidoreductase
3bem_1	P96692	Oxidoreductase
1vc2_1	P84125	Oxidoreductase
3wbw_1	Q5FT75	Oxidoreductase
3kb6_1	O66939	Oxidoreductase
1bi9_4	Q63639	Oxidoreductase
1rc4_1	P0ABQ4	Oxidoreductase
2e77_3	Q44467	Oxidoreductase
4aws_1	Q8EEC8	Oxidoreductase
1kf6_3	P00363	Oxidoreductase
3uxv_1	Q9KTK0	Oxidoreductase
1kqb_3	Q01234	Oxidoreductase
1wwk_2	O50095	Oxidoreductase
4dsg_1	Q4E1W2	Oxidoreductase
3kpk_1	B7JBP8	Oxidoreductase
1u7t_1	Q99714	Oxidoreductase
4nwz_4	F5L3B8	Oxidoreductase
1c1d_1	Q59771	Oxidoreductase
2pd9_1	P15121	Oxidoreductase
3ean_6	O89049	Oxidoreductase
4xzn_1	O60218	Oxidoreductase
1ges_1	P06715	Oxidoreductase
2hk9_1	O67049	Oxidoreductase
3etg_11	P00366	Oxidoreductase
4uaj_1	A5F5Y4	Oxidoreductase
2jb1_1	Q8VPD4	Oxidoreductase
3h7u_1	Q0PGJ6	Oxidoreductase
2fzi_1	P16184	Oxidoreductase
3abi_1	O59312	Oxidoreductase
2jir_2	P81186	Oxidoreductase
4h8a_2	P77555	Oxidoreductase
3zky_1	P05326	Oxidoreductase
1nqa_4	P00362	Oxidoreductase
3d2d_1	P30986	Oxidoreductase
4zvm_1	P16083	Oxidoreductase
1lqu_2	P9WIQ3	Oxidoreductase
1xg5_3	Q6UWP2	Oxidoreductase
2y99_2	Q46381	Oxidoreductase
2iyp_1	P96789	Oxidoreductase
3p67_1	P71278	Oxidoreductase
2fjb_1	O28603	Oxidoreductase
5hws_3	Q5JGC2	Oxidoreductase
2dv0_1	P15121	Oxidoreductase
3asj_3	Q5SIJ1	Oxidoreductase
3qfc_3	P16435	Oxidoreductase
1u3w_2	P00326	Oxidoreductase
4kto_1	Q92VK1	Oxidoreductase
2iki_1	P15121	Oxidoreductase
5kj6_4	P00327	Oxidoreductase
3srw_1	P0A017	Oxidoreductase
2hrb_1	O75828	Oxidoreductase
1civ_1	P46489	Oxidoreductase
3sz0_1	B7JBP8	Oxidoreductase
3mc5_1	P15121	Oxidoreductase
2c3u_2	P94692	Oxidoreductase
4j7x_5	P35270	Oxidoreductase
3ae4_1	Q007T0	Oxidoreductase
4h6p_6	D5QFC5	Oxidoreductase
5dt9_1	Q9KQ92	Oxidoreductase
4z24_2	Q5UPL2	Oxidoreductase
3ge6_1	B1YG32	Oxidoreductase
2is7_1	P15121	Oxidoreductase
1cd2_1	P16184	Oxidoreductase
2dte_2	Q9HK51	Oxidoreductase
3qdl_4	O25608	Oxidoreductase
5cdg_1	P00327	Oxidoreductase
3apy_3	Q5SLG6	Oxidoreductase
4yjd_2	P00371	Oxidoreductase
1gd1_4	P00362	Oxidoreductase
3zho_1	P0A8G6	Oxidoreductase
4cbq_4	C4LW95	Oxidoreductase
5ccc_1	P0ABQ4	Oxidoreductase
4i1n_1	P0ABQ4	Oxidoreductase
2fzh_1	P16184	Oxidoreductase
2w9g_1	P0A017	Oxidoreductase
1gte_6	Q28943	Oxidoreductase
2zbw_2	Q5SL28	Oxidoreductase
2wp9_2	P07014	Oxidoreductase
3atz_6	Q8I6L9	Oxidoreductase
1t2c_1	Q27743	Oxidoreductase
1qyx_1	P14061	Oxidoreductase
4n65_2	Q9I5F3	Oxidoreductase
3u2c_1	P15121	Oxidoreductase
2vwh_1	Q977U7	Oxidoreductase
4eqs_2	Q2FIA5	Oxidoreductase
1og6_1	P76187	Oxidoreductase
4x9n_1	P75063	Oxidoreductase
1nfr_1	P9WGT1	Oxidoreductase
4kug_3	C4IEM5	Oxidoreductase
1e1m_1	P08165	Oxidoreductase
2pdj_1	P15121	Oxidoreductase
2gqt_1	Q5SJC8	Oxidoreductase
1e3l_1	Q9QYY9	Oxidoreductase
4z26_6	Q5UPL2	Oxidoreductase
1fp6_1	P00459	Oxidoreductase
4kpr_4	O89049	Oxidoreductase
1nas_1	Q64105	Oxidoreductase
3kft_2	P71278	Oxidoreductase
1zmc_12	P09622	Oxidoreductase
3hyw_5	O67931	Oxidoreductase
4rnx_2	Q02899	Oxidoreductase
3tx1_1	Q8Y776	Oxidoreductase
1jol_2	P0ABQ4	Oxidoreductase
1qxs_3	P22513	Oxidoreductase
3qfr_2	P16435	Oxidoreductase
1nzz_2	P05091	Oxidoreductase
1het_1	P00327	Oxidoreductase
1icq_1	Q9XG54	Oxidoreductase
2isj_4	Q92PC8	Oxidoreductase
3rku_2	Q05016	Oxidoreductase
4l03_2	O75874	Oxidoreductase
3w2e_1	P83686	Oxidoreductase
4dbz_1	P16544	Oxidoreductase
4utm_1	Q3ZDM6	Oxidoreductase
2cy0_1	Q5SJF8	Oxidoreductase
1fnb_1	P00455	Oxidoreductase
4ne0_1	G9MBV2	Oxidoreductase
1fk8_1	P80702	Oxidoreductase
1e1k_1	P08165	Oxidoreductase
3dgz_2	Q9JLT4	Oxidoreductase
3dk4_2	P00390	Oxidoreductase
2aqk_1	P9WGR1	Oxidoreductase
1p44_5	P9WGR1	Oxidoreductase
2g8y_2	P30178	Oxidoreductase
4af6_1	P10933	Oxidoreductase
1tde_1	P0A9P4	Oxidoreductase
4fal_1	P42330	Oxidoreductase
2rc6_2	Q8EY89	Oxidoreductase
2uxw_1	P49748	Oxidoreductase
3jq7_2	Q581W1	Oxidoreductase
1gsn_1	P00390	Oxidoreductase
4e2d_1	Q2TJB8	Oxidoreductase
2pdy_1	P15121	Oxidoreductase
2b5v_1	Q977U7	Oxidoreductase
4oe2_2	Q83V33	Oxidoreductase
2egh_1	P45568	Oxidoreductase
3t58_1	Q8BND5	Oxidoreductase
3ab1_1	Q8KCB2	Oxidoreductase
2j3n_4	Q16881	Oxidoreductase
4elh_1	Q81R22	Oxidoreductase
1mbb_1	P08373	Oxidoreductase
2acu_1	P15121	Oxidoreductase
3uko_2	Q96533	Oxidoreductase
4gdp_4	P50264	Oxidoreductase
1i5r_1	P14061	Oxidoreductase
1zp4_3	P0AEZ1	Oxidoreductase
3ijr_7	Q81UV8	Oxidoreductase
1dxq_2	Q64669	Oxidoreductase
3mpi_1	C3UVB0	Oxidoreductase
3wbb_3	Q67PI3	Oxidoreductase
3mw9_6	P00366	Oxidoreductase
1qyw_1	P14061	Oxidoreductase
4ykf_2	P35340	Oxidoreductase
1u4s_1	Q27743	Oxidoreductase
1dbv_3	P00362	Oxidoreductase
3jzd_3	Q46TQ1	Oxidoreductase
1q13_1	P80508	Oxidoreductase
3nhw_1	P16083	Oxidoreductase
1dir_4	P11348	Oxidoreductase
2g25_2	P0AFG8	Oxidoreductase
3cps_2	Q5CWT6	Oxidoreductase
3klm_1	P14061	Oxidoreductase
4l1x_1	P52895	Oxidoreductase
3v35_1	P15121	Oxidoreductase
1rx6_2	P0ABQ4	Oxidoreductase
1jay_2	O29370	Oxidoreductase
4eqw_3	Q2FIA5	Oxidoreductase
5hxw_3	Q9LCB2	Oxidoreductase
3gy0_1	Q83RM3	Oxidoreductase
3k7m_1	Q93NH4	Oxidoreductase
3zc3_3	P21890	Oxidoreductase
3hdh_2	P00348	Oxidoreductase
5hi6_1	Q7CG83	Oxidoreductase
2c3d_5	Q56839	Oxidoreductase
5ees_1	P40110	Oxidoreductase
1hb1_1	P05326	Oxidoreductase
1xje_4	O33839	Oxidoreductase
1hwl_6	P04035	Oxidoreductase
4z87_2	Q756Z6	Oxidoreductase
1iei_1	P15121	Oxidoreductase
1jnz_2	O28603	Oxidoreductase
1amo_5	P00388	Oxidoreductase
2lf1_1	P00381	Oxidoreductase
1h5n_3	Q52675	Oxidoreductase
2hk9_3	O67049	Oxidoreductase
3inj_5	P05091	Oxidoreductase
1ah3_1	P80276	Oxidoreductase
3kpf_2	O64411	Oxidoreductase
1oo6_1	P38489	Oxidoreductase
1us0_1	P15121	Oxidoreductase
3zno_2	P14920	Oxidoreductase
2isl_2	Q92PC8	Oxidoreductase
3dag_1	Q58194	Oxidoreductase
3ntr_2	P26935	Oxidoreductase
2bf4_6	P16603	Oxidoreductase
1e92_1	Q01782	Oxidoreductase
2bn4_2	P16603	Oxidoreductase
4dqw_1	Q9HXM5	Oxidoreductase
2gr1_1	Q52437	Oxidoreductase
2yvf_2	Q52437	Oxidoreductase
2ohh_2	Q50497	Oxidoreductase
3bi4_2	P50264	Oxidoreductase
2czc_4	O59494	Oxidoreductase
1jue_1	A2RJT9	Oxidoreductase
2reh_2	Q8X1D8	Oxidoreductase
4dl9_2	D2Y3F4	Oxidoreductase
1wyg_2	P22985	Oxidoreductase
1zgd_1	Q40309	Oxidoreductase
4uqs_1	O34453	Oxidoreductase
2ggs_1	Q96Z61	Oxidoreductase
3zoi_1	P05326	Oxidoreductase
1q1r_2	P16640	Oxidoreductase
3cn8_1	P50264	Oxidoreductase
4qnw_1	Q4WZ70	Oxidoreductase
1h66_6	P15559	Oxidoreductase
1gee_2	P40288	Oxidoreductase
2v61_2	P27338	Oxidoreductase
2onm_2	P05091	Oxidoreductase
4jb1_1	Q9HZM7	Oxidoreductase
3rj9_1	P10807	Oxidoreductase
2wu5_2	P07014	Oxidoreductase
4ii4_1	P76077	Oxidoreductase
4cd2_1	P16184	Oxidoreductase
1ez4_4	P56511	Oxidoreductase
4f4q_1	A0R607	Oxidoreductase
1ia2_2	P22906	Oxidoreductase
1ooq_1	P38489	Oxidoreductase
1y56_3	O59089	Oxidoreductase
4gnz_3	P28037	Oxidoreductase
2b9y_1	Q6A8X5	Oxidoreductase
3ql3_1	P0ABQ4	Oxidoreductase
2vpy_1	Q72LA4	Oxidoreductase
3h65_1	Q58194	Oxidoreductase
4qoh_2	P16083	Oxidoreductase
4p68_1	C3TR70	Oxidoreductase
2zaf_3	Q8X1D8	Oxidoreductase
4fj0_3	O93874	Oxidoreductase
2dbr_2	O58320	Oxidoreductase
4udr_1	E4QP00	Oxidoreductase
1q45_2	Q9FUP0	Oxidoreductase
1ebd_2	P11959	Oxidoreductase
2prh_2	Q02127	Oxidoreductase
1m76_3	Q16836	Oxidoreductase
1gco_2	P40288	Oxidoreductase
3baz_1	Q65CJ7	Oxidoreductase
4a65_2	C4LW95	Oxidoreductase
4nx7_1	P0ABQ4	Oxidoreductase
3qlw_2	P22906	Oxidoreductase
5aq1_2	Q4E0B2	Oxidoreductase
1kf6_1	P0AC47	Oxidoreductase
2vhw_5	P9WQB1	Oxidoreductase
2ok8_2	C6KT68	Oxidoreductase
3h7r_1	O80944	Oxidoreductase
1e26_1	P16184	Oxidoreductase
3och_1	P0ABQ4	Oxidoreductase
3sqp_1	P00390	Oxidoreductase
1m67_1	P90551	Oxidoreductase
4jtr_1	P52895	Oxidoreductase
1hwj_7	P04035	Oxidoreductase
1frb_1	P45377	Oxidoreductase
1rm4_2	P19866	Oxidoreductase
3jq6_2	Q581W1	Oxidoreductase
2hm9_1	P00381	Oxidoreductase
1mp0_2	P11766	Oxidoreductase
3q65_2	P15121	Oxidoreductase
5eyu_2	Q9L4P8	Oxidoreductase
3fnh_1	P9WGR1	Oxidoreductase
3anl_1	P45568	Oxidoreductase
1ht0_1	P00326	Oxidoreductase
2dkn_1	Q59718	Oxidoreductase
3ghs_1	P15121	Oxidoreductase
1bvr_2	P9WGR1	Oxidoreductase
2hu2_1	Q6AZ26	Oxidoreductase
1y9d_2	P37063	Oxidoreductase
3cv7_1	P50578	Oxidoreductase
3m9v_1	B3TMR1	Oxidoreductase
1yki_4	P38489	Oxidoreductase
3fyw_1	P0A017	Oxidoreductase
3cmf_2	P51857	Oxidoreductase
1tdf_1	P0A9P4	Oxidoreductase
3ox3_2	P16083	Oxidoreductase
2o2q_4	P28037	Oxidoreductase
4yry_6	Q9X1X5	Oxidoreductase
1kqf_1	P24183	Oxidoreductase
1h6v_6	O89049	Oxidoreductase
3w4k_3	P14920	Oxidoreductase
3zv5_1	Q46381	Oxidoreductase
4o95_1	E3T1W8	Oxidoreductase
1ads_1	P15121	Oxidoreductase
1nyt_1	P15770	Oxidoreductase
3k31_1	Q2GKM8	Oxidoreductase
3k2b_7	P25856	Oxidoreductase
3byz_2	P28845	Oxidoreductase
3f03_1	P71278	Oxidoreductase
1w88_1	P21874	Oxidoreductase
5kje_3	P00327	Oxidoreductase
1eny_1	P9WGR1	Oxidoreductase
1gve_1	P38918	Oxidoreductase
3sf6_1	A0QV68	Oxidoreductase
3fl8_2	Q81R22	Oxidoreductase
1b2r_1	P21890	Oxidoreductase
3drc_1	P0ABQ4	Oxidoreductase
2o23_2	Q99714	Oxidoreductase
4ydd_1	G8QM55	Oxidoreductase
1rx3_1	P0ABQ4	Oxidoreductase
3s1c_1	Q9T0N8	Oxidoreductase
1fdo_2	P07658	Oxidoreductase
1drh_1	P0ABQ4	Oxidoreductase
2ntj_2	P9WGR1	Oxidoreductase
2nnl_3	P51110	Oxidoreductase
2vnj_2	Q9L6V3	Oxidoreductase
4h6k_1	Q02899	Oxidoreductase
2clp_6	O95154	Oxidoreductase
3szf_1	B7JBP8	Oxidoreductase
1ry0_2	P42330	Oxidoreductase
4k36_1	Q0TTH1	Oxidoreductase
1mo9_3	Q56839	Oxidoreductase
4fj0_2	O93874	Oxidoreductase
1hf3_1	P00327	Oxidoreductase
4kp7_1	O96693	Oxidoreductase
3ia4_4	Q70YQ6	Oxidoreductase
1sm4_2	Q9M4D2	Oxidoreductase
2q0k_1	P56431	Oxidoreductase
4j7x_2	P35270	Oxidoreductase
2w9h_1	P0A017	Oxidoreductase
4em3_1	Q2FIA5	Oxidoreductase
4yao_6	P00388	Oxidoreductase
2ejv_2	Q5SKS4	Oxidoreductase
1qay_1	P13702	Oxidoreductase
4rlh_2	Q63SW7	Oxidoreductase
3ld5_1	P15121	Oxidoreductase
1e64_1	P21890	Oxidoreductase
1d7y_1	Q52437	Oxidoreductase
4m9a_1	Q2T4A2	Oxidoreductase
3jqb_2	Q581W1	Oxidoreductase
4fr8_3	P05091	Oxidoreductase
1ofg_1	Q07982	Oxidoreductase
4ysw_3	P22985	Oxidoreductase
1ics_1	Q9XG54	Oxidoreductase
2zz0_1	Q16881	Oxidoreductase
3toz_4	Q8Y9N5	Oxidoreductase
1fdr_1	P28861	Oxidoreductase
1o02_1	P05091	Oxidoreductase
3itj_4	P29509	Oxidoreductase
3hml_2	A6T9H1	Oxidoreductase
3rc7_1	B3TMR8	Oxidoreductase
3nt2_2	P26935	Oxidoreductase
3ksd_3	Q6GIL8	Oxidoreductase
3bi2_2	P50264	Oxidoreductase
4ykf_1	P35340	Oxidoreductase
2fjd_1	O28603	Oxidoreductase
2bf7_1	Q01782	Oxidoreductase
4ywj_1	P38103	Oxidoreductase
1ib6_2	P61889	Oxidoreductase
3p80_1	P71278	Oxidoreductase
1m78_2	P22906	Oxidoreductase
4b79_2	Q9HWT0	Oxidoreductase
4ug7_2	O34453	Oxidoreductase
2q1l_3	P04035	Oxidoreductase
1dxy_1	P17584	Oxidoreductase
3qkz_1	Q5RJP0	Oxidoreductase
4eso_3	Q92N93	Oxidoreductase
3nta_3	A3QAV3	Oxidoreductase
2wdq_2	P07014	Oxidoreductase
4e2b_1	Q2TJB8	Oxidoreductase
2pkr_5	P19866	Oxidoreductase
3aty_2	Q8I6L9	Oxidoreductase
2jcv_1	P9WNS1	Oxidoreductase
1kbi_2	P00175	Oxidoreductase
3nn6_1	Q93NH4	Oxidoreductase
4wct_2	O42629	Oxidoreductase
2gqw_1	Q52437	Oxidoreductase
1o00_2	P05091	Oxidoreductase
1rp7_1	P0AFG8	Oxidoreductase
2imp_1	P25553	Oxidoreductase
4pmj_1	Q92NR7	Oxidoreductase
3h4v_5	Q01782	Oxidoreductase
2j5n_1	Q5SI02	Oxidoreductase
5bnt_2	Q51344	Oxidoreductase
3qls_1	P22906	Oxidoreductase
2ed4_4	Q5SJP7	Oxidoreductase
2bgm_1	Q94KL8	Oxidoreductase
1a71_2	P00327	Oxidoreductase
1az1_2	P15121	Oxidoreductase
3mb9_1	P15121	Oxidoreductase
3ix9_2	Q54801	Oxidoreductase
3cnd_2	P50264	Oxidoreductase
1gth_9	Q28943	Oxidoreductase
3rf7_1	Q12MB1	Oxidoreductase
2r0n_1	Q92947	Oxidoreductase
1ez0_4	Q56694	Oxidoreductase
3m6i_1	Q7SI09	Oxidoreductase
5coq_1	P9WGR1	Oxidoreductase
2c91_6	Q8CG76	Oxidoreductase
2pdu_1	P15121	Oxidoreductase
2vyn_2	P0A9B2	Oxidoreductase
4k39_1	Q0TTH1	Oxidoreductase
1yqx_2	Q94G59	Oxidoreductase
2bgi_1	Q9L6V3	Oxidoreductase
1rrm_1	P0A9S1	Oxidoreductase
1f8f_1	Q59096	Oxidoreductase
3w1r_1	Q4D3W2	Oxidoreductase
1ra2_1	P0ABQ4	Oxidoreductase
3lns_4	Q84DC3	Oxidoreductase
1t09_1	O75874	Oxidoreductase
1buc_3	Q06319	Oxidoreductase
4bv9_2	O54983	Oxidoreductase
3t2k_1	B7JBP8	Oxidoreductase
5kcp_2	P00327	Oxidoreductase
3b4y_1	P9WNE1	Oxidoreductase
3m08_1	P0A017	Oxidoreductase
1grb_1	P00390	Oxidoreductase
1fdu_5	P14061	Oxidoreductase
4o5q_1	P35340	Oxidoreductase
1kqc_3	Q01234	Oxidoreductase
1qo8_10	Q9Z4P0	Oxidoreductase
3kbo_2	Q8ZQ30	Oxidoreductase
2g28_2	P0AFG8	Oxidoreductase
4ja8_1	P48735	Oxidoreductase
3mpj_3	C3UVB0	Oxidoreductase
3nx4_2	Q7CPM2	Oxidoreductase
4yt5_1	Q58734	Oxidoreductase
3gam_2	P16083	Oxidoreductase
3wds_2	G1K3P5	Oxidoreductase
3e39_2	Q314Q8	Oxidoreductase
4al4_4	P04642	Oxidoreductase
1ee9_1	Q02046	Oxidoreductase
1lde_5	P00327	Oxidoreductase
3ka7_1	Q8PU56	Oxidoreductase
3inm_1	O75874	Oxidoreductase
2y42_2	Q5SIY4	Oxidoreductase
1bmd_1	P10584	Oxidoreductase
4nu6_2	O69054	Oxidoreductase
3caq_1	P51857	Oxidoreductase
4cr8_6	P22441	Oxidoreductase
4y7c_3	P00388	Oxidoreductase
1omo_2	O28608	Oxidoreductase
2ix5_5	Q96329	Oxidoreductase
5kje_2	P00327	Oxidoreductase
1lud_1	P00381	Oxidoreductase
2nnl_1	P51110	Oxidoreductase
5i39_1	Q9LCB2	Oxidoreductase
4yao_3	P00388	Oxidoreductase
1xu9_4	P28845	Oxidoreductase
3f47_1	Q58194	Oxidoreductase
2ev9_1	Q5SJF8	Oxidoreductase
4xzm_1	O60218	Oxidoreductase
2y6f_1	P05326	Oxidoreductase
4hfm_2	Q9SLN8	Oxidoreductase
4bb6_2	P28845	Oxidoreductase
1ogi_1	P21890	Oxidoreductase
4eqw_2	Q2FIA5	Oxidoreductase
3mhp_1	P10933	Oxidoreductase
